application_id,user_id,job_id,applied_date,status
1,1,686,2026-02-24,shortlisted
2,2,783,2026-02-09,viewed
3,3,192,2026-01-25,viewed
4,3,3884,2026-03-13,shortlisted
5,4,1983,2026-03-05,viewed
6,4,4258,2026-04-14,shortlisted
7,5,1681,2026-04-10,submitted
8,5,3661,2026-04-20,submitted
9,7,229,2026-05-01,submitted
10,9,3979,2026-05-11,shortlisted
11,9,3880,2026-01-16,shortlisted
12,11,581,2026-02-14,submitted
13,12,3330,2026-01-16,submitted
14,13,2142,2026-04-26,submitted
15,13,3420,2026-03-14,submitted
16,16,1198,2026-04-21,shortlisted
17,16,4096,2026-03-20,submitted
18,18,1191,2026-02-12,shortlisted
19,18,355,2026-02-01,submitted
20,19,1774,2026-04-18,shortlisted
21,21,615,2026-02-05,submitted
22,22,2770,2026-02-16,submitted
23,22,190,2026-04-14,rejected
24,23,1487,2026-01-26,submitted
25,24,1691,2026-03-02,shortlisted
26,24,658,2026-01-16,submitted
27,25,2463,2026-05-08,viewed
28,25,1319,2026-03-22,shortlisted
29,26,2221,2026-03-24,viewed
30,27,623,2026-05-02,shortlisted
31,27,2066,2026-05-08,viewed
32,28,4116,2026-04-25,shortlisted
33,32,4256,2026-02-24,submitted
34,32,4194,2026-04-19,submitted
35,34,3839,2026-04-05,shortlisted
36,36,4077,2026-03-13,shortlisted
37,36,358,2026-01-29,shortlisted
38,37,4072,2026-04-01,shortlisted
39,38,1864,2026-03-28,shortlisted
40,39,2334,2026-02-01,viewed
41,41,302,2026-03-06,submitted
42,42,1708,2026-02-26,submitted
43,43,1654,2026-03-01,shortlisted
44,43,4584,2026-03-20,shortlisted
45,44,1001,2026-04-20,submitted
46,44,1507,2026-02-13,viewed
47,45,4282,2026-01-28,submitted
48,45,34,2026-03-02,shortlisted
49,46,2527,2026-04-27,viewed
50,48,2732,2026-02-20,rejected
51,50,4118,2026-05-09,rejected
52,50,4358,2026-02-11,rejected
53,51,97,2026-04-30,viewed
54,51,3719,2026-02-12,rejected
55,51,2761,2026-03-29,shortlisted
56,51,4028,2026-04-25,viewed
57,51,2474,2026-05-10,submitted
58,52,1869,2026-04-23,submitted
59,53,4921,2026-02-07,shortlisted
60,53,3335,2026-04-09,viewed
61,55,2172,2026-05-10,viewed
62,56,145,2026-03-30,viewed
63,56,1548,2026-05-13,viewed
64,56,219,2026-05-12,viewed
65,57,3468,2026-04-20,shortlisted
66,57,3385,2026-04-11,submitted
67,58,1627,2026-05-12,submitted
68,58,383,2026-04-17,shortlisted
69,59,3756,2026-04-06,shortlisted
70,60,2019,2026-04-06,submitted
71,60,2113,2026-03-15,viewed
72,61,4916,2026-01-27,viewed
73,62,379,2026-02-01,viewed
74,62,1173,2026-04-15,shortlisted
75,63,3100,2026-03-21,submitted
76,63,3851,2026-03-21,shortlisted
77,64,753,2026-03-16,viewed
78,65,4006,2026-03-10,submitted
79,66,2392,2026-02-25,submitted
80,67,2626,2026-02-16,submitted
81,68,20,2026-03-17,viewed
82,69,637,2026-01-15,submitted
83,69,2242,2026-02-09,viewed
84,71,1230,2026-04-05,submitted
85,71,4071,2026-05-02,submitted
86,71,2279,2026-03-24,rejected
87,74,1268,2026-04-04,viewed
88,75,4869,2026-01-19,shortlisted
