assignment_id,experiment_id,user_id,variant,assigned_ts
exp_1001_1,exp_1001,34003,control,2026-04-02 21:23:39
exp_1001_2,exp_1001,28377,treatment,2026-04-12 00:37:02
exp_1001_3,exp_1001,20961,control,2026-04-05 07:51:06
exp_1001_4,exp_1001,17033,treatment,2026-04-12 23:59:53
exp_1001_5,exp_1001,12154,treatment,2026-04-07 04:06:44
exp_1001_6,exp_1001,28392,treatment,2026-04-10 13:36:13
exp_1001_7,exp_1001,31997,treatment,2026-04-12 10:50:32
exp_1001_8,exp_1001,7546,treatment,2026-04-08 00:25:51
exp_1001_9,exp_1001,22389,control,2026-04-15 22:39:43
exp_1001_10,exp_1001,36881,treatment,2026-04-12 12:03:56
exp_1001_11,exp_1001,40576,control,2026-04-17 14:53:35
exp_1001_12,exp_1001,16706,treatment,2026-04-17 16:53:52
exp_1001_13,exp_1001,25363,treatment,2026-04-04 16:36:23
exp_1001_14,exp_1001,41640,treatment,2026-04-02 18:55:45
exp_1001_15,exp_1001,36901,treatment,2026-04-04 23:09:59
exp_1001_16,exp_1001,10225,treatment,2026-04-11 16:22:28
exp_1001_17,exp_1001,30356,treatment,2026-04-02 18:25:19
exp_1001_18,exp_1001,36742,treatment,2026-04-02 18:01:21
exp_1001_19,exp_1001,17306,treatment,2026-04-14 18:45:51
exp_1001_20,exp_1001,35625,treatment,2026-04-03 08:24:18
exp_1001_21,exp_1001,23316,treatment,2026-04-03 10:27:09
exp_1001_22,exp_1001,37003,control,2026-04-11 04:23:41
exp_1001_23,exp_1001,31626,control,2026-04-04 12:08:00
exp_1001_24,exp_1001,23729,treatment,2026-04-04 19:54:42
exp_1001_25,exp_1001,19904,control,2026-04-10 12:13:46
exp_1001_26,exp_1001,36321,control,2026-04-10 00:09:24
exp_1001_27,exp_1001,18563,control,2026-04-10 10:41:09
exp_1001_28,exp_1001,38176,control,2026-04-10 11:11:28
exp_1001_29,exp_1001,23373,control,2026-04-07 07:50:05
exp_1001_30,exp_1001,30911,control,2026-04-03 05:21:20
exp_1001_31,exp_1001,29565,treatment,2026-04-06 16:07:22
exp_1001_32,exp_1001,41626,control,2026-04-04 21:14:18
exp_1001_33,exp_1001,20670,control,2026-04-04 07:36:52
exp_1001_34,exp_1001,25533,treatment,2026-04-03 18:06:39
exp_1001_35,exp_1001,11407,control,2026-04-10 10:25:10
exp_1001_36,exp_1001,37250,treatment,2026-04-01 08:29:48
exp_1001_37,exp_1001,19414,control,2026-04-11 16:15:57
exp_1001_38,exp_1001,27865,treatment,2026-04-10 17:15:27
exp_1001_39,exp_1001,13409,control,2026-04-08 21:55:46
exp_1001_40,exp_1001,10017,treatment,2026-04-15 17:31:45
exp_1001_41,exp_1001,26104,treatment,2026-04-04 13:12:25
exp_1001_42,exp_1001,15052,control,2026-04-04 05:15:59
exp_1001_43,exp_1001,31567,treatment,2026-04-04 12:09:50
exp_1001_44,exp_1001,2253,control,2026-04-16 01:45:11
exp_1001_45,exp_1001,25110,control,2026-04-14 06:16:39
exp_1001_46,exp_1001,21229,treatment,2026-04-10 15:02:51
exp_1001_47,exp_1001,11440,treatment,2026-04-18 15:35:12
exp_1001_48,exp_1001,21436,control,2026-04-09 10:10:37
exp_1001_49,exp_1001,15950,control,2026-04-06 02:41:14
exp_1001_50,exp_1001,6214,treatment,2026-04-09 19:56:21
exp_1001_51,exp_1001,21102,treatment,2026-04-13 12:12:00
exp_1001_52,exp_1001,12432,control,2026-04-18 07:25:34
exp_1001_53,exp_1001,8329,treatment,2026-04-17 13:05:52
exp_1001_54,exp_1001,2486,treatment,2026-04-13 00:40:20
exp_1001_55,exp_1001,5076,treatment,2026-04-18 15:21:49
exp_1001_56,exp_1001,21721,treatment,2026-04-03 17:07:53
exp_1001_57,exp_1001,7897,treatment,2026-04-10 12:10:54
exp_1001_58,exp_1001,30513,control,2026-04-12 23:39:30
exp_1001_59,exp_1001,24888,treatment,2026-04-18 09:14:10
exp_1001_60,exp_1001,22339,treatment,2026-04-10 11:42:43
exp_1001_61,exp_1001,23239,control,2026-04-07 09:10:45
exp_1001_62,exp_1001,39207,control,2026-04-04 03:43:53
exp_1001_63,exp_1001,29258,control,2026-04-13 21:01:36
exp_1001_64,exp_1001,39890,treatment,2026-04-11 18:42:51
exp_1001_65,exp_1001,10857,treatment,2026-04-10 02:16:34
exp_1001_66,exp_1001,5248,treatment,2026-04-01 21:43:35
exp_1001_67,exp_1001,9939,control,2026-04-16 01:15:57
exp_1001_68,exp_1001,33641,control,2026-04-08 07:02:23
exp_1001_69,exp_1001,6546,control,2026-04-11 02:11:42
exp_1001_70,exp_1001,22391,control,2026-04-04 10:46:26
exp_1001_71,exp_1001,31724,treatment,2026-04-09 05:52:22
exp_1001_72,exp_1001,27681,control,2026-04-13 14:42:40
exp_1001_73,exp_1001,41036,control,2026-04-15 20:47:00
exp_1001_74,exp_1001,2492,control,2026-04-14 23:40:49
exp_1001_75,exp_1001,5708,control,2026-04-12 15:42:15
exp_1001_76,exp_1001,4992,treatment,2026-04-12 13:09:06
exp_1001_77,exp_1001,17383,treatment,2026-04-13 01:21:26
exp_1001_78,exp_1001,623,treatment,2026-04-05 01:12:56
exp_1001_79,exp_1001,12694,treatment,2026-04-05 08:22:34
exp_1001_80,exp_1001,17598,control,2026-04-07 15:02:11
exp_1001_81,exp_1001,4114,control,2026-04-13 12:33:25
exp_1001_82,exp_1001,28752,control,2026-04-13 08:50:59
exp_1001_83,exp_1001,19193,treatment,2026-04-15 10:20:40
exp_1001_84,exp_1001,37333,control,2026-04-14 20:54:38
exp_1001_85,exp_1001,26929,treatment,2026-04-17 05:00:28
exp_1001_86,exp_1001,32953,control,2026-04-17 03:58:10
exp_1001_87,exp_1001,39287,treatment,2026-04-05 21:19:08
exp_1001_88,exp_1001,28124,treatment,2026-04-10 01:15:11
exp_1001_89,exp_1001,9526,control,2026-04-07 15:33:56
exp_1001_90,exp_1001,13289,control,2026-04-13 03:15:04
exp_1001_91,exp_1001,4499,treatment,2026-04-01 08:07:58
exp_1001_92,exp_1001,26117,control,2026-04-12 12:14:54
exp_1001_93,exp_1001,38187,treatment,2026-04-04 21:13:09
exp_1001_94,exp_1001,33502,control,2026-04-04 10:02:28
exp_1001_95,exp_1001,712,control,2026-04-03 20:12:48
exp_1001_96,exp_1001,12451,treatment,2026-04-08 20:19:06
exp_1001_97,exp_1001,40218,control,2026-04-13 18:45:37
exp_1001_98,exp_1001,14665,control,2026-04-15 01:01:30
exp_1001_99,exp_1001,26777,treatment,2026-04-04 01:50:00
exp_1001_100,exp_1001,32495,treatment,2026-04-10 09:20:36
exp_1001_101,exp_1001,31606,control,2026-04-01 17:17:41
exp_1001_102,exp_1001,31132,control,2026-04-14 19:10:21
exp_1001_103,exp_1001,49,treatment,2026-04-10 17:20:42
exp_1001_104,exp_1001,11973,treatment,2026-04-02 19:19:22
exp_1001_105,exp_1001,41916,control,2026-04-06 23:25:23
exp_1001_106,exp_1001,12545,control,2026-04-17 05:26:33
exp_1001_107,exp_1001,9741,control,2026-04-04 17:20:30
exp_1001_108,exp_1001,6684,treatment,2026-04-15 04:59:25
exp_1001_109,exp_1001,20379,treatment,2026-04-18 00:51:55
