event_id,experiment_id,user_id,variant,event_type,event_value,event_ts
exp_1001_e1,exp_1001,34003,control,application_success_rate_fail,1.0,2026-04-07 01:23:39
exp_1001_e2,exp_1001,17033,treatment,application_success_rate_fail,1.0,2026-04-20 17:59:53
exp_1001_e3,exp_1001,28392,treatment,conversion,1.0,2026-04-29 13:36:13
exp_1001_e4,exp_1001,28392,treatment,revenue,14.24,2026-04-29 13:36:13
exp_1001_e5,exp_1001,31997,treatment,conversion,1.0,2026-04-17 10:50:32
exp_1001_e6,exp_1001,31997,treatment,revenue,25.16,2026-04-17 10:50:32
exp_1001_e7,exp_1001,22389,control,application_success_rate_fail,1.0,2026-04-28 07:39:43
exp_1001_e8,exp_1001,41640,treatment,conversion,1.0,2026-04-08 18:55:45
exp_1001_e9,exp_1001,41640,treatment,revenue,24.75,2026-04-08 18:55:45
exp_1001_e10,exp_1001,10225,treatment,conversion,1.0,2026-04-13 16:22:28
exp_1001_e11,exp_1001,10225,treatment,revenue,24.65,2026-04-13 16:22:28
exp_1001_e12,exp_1001,30356,treatment,conversion,1.0,2026-04-07 18:25:19
exp_1001_e13,exp_1001,30356,treatment,revenue,7.91,2026-04-07 18:25:19
exp_1001_e14,exp_1001,37003,control,conversion,1.0,2026-04-12 04:23:41
exp_1001_e15,exp_1001,37003,control,revenue,20.66,2026-04-12 04:23:41
exp_1001_e16,exp_1001,20670,control,error_rate,1.0,2026-04-13 04:36:52
exp_1001_e17,exp_1001,25533,treatment,conversion,1.0,2026-04-06 18:06:39
exp_1001_e18,exp_1001,25533,treatment,revenue,22.83,2026-04-06 18:06:39
exp_1001_e19,exp_1001,25533,treatment,crash_rate,1.0,2026-04-07 15:06:39
exp_1001_e20,exp_1001,19414,control,conversion,1.0,2026-04-26 16:15:57
exp_1001_e21,exp_1001,19414,control,revenue,33.44,2026-04-26 16:15:57
exp_1001_e22,exp_1001,19414,control,error_rate,1.0,2026-04-26 22:15:57
exp_1001_e23,exp_1001,27865,treatment,conversion,1.0,2026-04-13 17:15:27
exp_1001_e24,exp_1001,27865,treatment,revenue,31.18,2026-04-13 17:15:27
exp_1001_e25,exp_1001,27865,treatment,application_success_rate_fail,1.0,2026-04-15 15:15:27
exp_1001_e26,exp_1001,31567,treatment,application_success_rate_fail,1.0,2026-04-17 19:09:50
exp_1001_e27,exp_1001,25110,control,application_success_rate_fail,1.0,2026-05-02 09:16:39
exp_1001_e28,exp_1001,21229,treatment,conversion,1.0,2026-04-28 15:02:51
exp_1001_e29,exp_1001,21229,treatment,revenue,17.94,2026-04-28 15:02:51
exp_1001_e30,exp_1001,11440,treatment,conversion,1.0,2026-05-06 15:35:12
exp_1001_e31,exp_1001,11440,treatment,revenue,16.41,2026-05-06 15:35:12
exp_1001_e32,exp_1001,11440,treatment,crash_rate,1.0,2026-05-08 09:35:12
exp_1001_e33,exp_1001,21436,control,conversion,1.0,2026-04-21 10:10:37
exp_1001_e34,exp_1001,21436,control,revenue,31.0,2026-04-21 10:10:37
exp_1001_e35,exp_1001,6214,treatment,conversion,1.0,2026-04-09 19:56:21
exp_1001_e36,exp_1001,6214,treatment,revenue,19.92,2026-04-09 19:56:21
exp_1001_e37,exp_1001,8329,treatment,conversion,1.0,2026-05-04 13:05:52
exp_1001_e38,exp_1001,8329,treatment,revenue,15.15,2026-05-04 13:05:52
exp_1001_e39,exp_1001,7897,treatment,conversion,1.0,2026-04-28 12:10:54
exp_1001_e40,exp_1001,7897,treatment,revenue,18.88,2026-04-28 12:10:54
exp_1001_e41,exp_1001,22339,treatment,conversion,1.0,2026-04-12 11:42:43
exp_1001_e42,exp_1001,22339,treatment,revenue,32.72,2026-04-12 11:42:43
exp_1001_e43,exp_1001,39890,treatment,conversion,1.0,2026-04-11 18:42:51
exp_1001_e44,exp_1001,39890,treatment,revenue,17.76,2026-04-11 18:42:51
exp_1001_e45,exp_1001,10857,treatment,application_success_rate_fail,1.0,2026-04-30 14:16:34
exp_1001_e46,exp_1001,9939,control,conversion,1.0,2026-05-02 01:15:57
exp_1001_e47,exp_1001,9939,control,revenue,38.6,2026-05-02 01:15:57
exp_1001_e48,exp_1001,22391,control,conversion,1.0,2026-04-23 10:46:26
exp_1001_e49,exp_1001,22391,control,revenue,12.18,2026-04-23 10:46:26
exp_1001_e50,exp_1001,31724,treatment,conversion,1.0,2026-04-10 05:52:22
exp_1001_e51,exp_1001,31724,treatment,revenue,16.1,2026-04-10 05:52:22
exp_1001_e52,exp_1001,31724,treatment,application_success_rate_fail,1.0,2026-04-11 13:52:22
exp_1001_e53,exp_1001,27681,control,conversion,1.0,2026-04-28 14:42:40
exp_1001_e54,exp_1001,27681,control,revenue,17.05,2026-04-28 14:42:40
exp_1001_e55,exp_1001,41036,control,conversion,1.0,2026-04-21 20:47:00
exp_1001_e56,exp_1001,41036,control,revenue,15.93,2026-04-21 20:47:00
exp_1001_e57,exp_1001,4114,control,conversion,1.0,2026-04-21 12:33:25
exp_1001_e58,exp_1001,4114,control,revenue,24.48,2026-04-21 12:33:25
exp_1001_e59,exp_1001,28752,control,conversion,1.0,2026-04-13 08:50:59
exp_1001_e60,exp_1001,28752,control,revenue,17.31,2026-04-13 08:50:59
exp_1001_e61,exp_1001,19193,treatment,conversion,1.0,2026-04-15 10:20:40
exp_1001_e62,exp_1001,19193,treatment,revenue,31.32,2026-04-15 10:20:40
exp_1001_e63,exp_1001,19193,treatment,application_success_rate_fail,1.0,2026-04-17 08:20:40
exp_1001_e64,exp_1001,32953,control,conversion,1.0,2026-05-05 03:58:10
exp_1001_e65,exp_1001,32953,control,revenue,20.35,2026-05-05 03:58:10
exp_1001_e66,exp_1001,26117,control,conversion,1.0,2026-04-24 12:14:54
exp_1001_e67,exp_1001,26117,control,revenue,16.06,2026-04-24 12:14:54
exp_1001_e68,exp_1001,40218,control,conversion,1.0,2026-04-21 18:45:37
