job_id,company_id,title,category,posted_date,is_remote
1,68,Operations,Design,2026-03-23,0
2,283,Customer Support,Software Engineering,2026-01-02,1
3,296,Data & Analytics,Data & Analytics,2026-03-03,0
4,456,Finance & Accounting,Operations,2025-11-23,1
5,303,Data & Analytics,Operations,2025-09-17,1
6,564,Marketing,Customer Support,2025-10-10,1
7,107,Sales,Operations,2025-08-25,0
8,25,Marketing,Marketing,2025-10-28,0
9,359,Design,Software Engineering,2025-12-20,1
10,186,Operations,Design,2025-09-06,0
11,539,Design,Marketing,2025-09-24,1
12,29,Software Engineering,Data & Analytics,2025-09-25,0
13,133,Operations,Operations,2026-03-03,0
14,408,Software Engineering,Software Engineering,2025-08-17,0
15,297,Finance & Accounting,Operations,2025-09-09,1
16,276,Design,Marketing,2025-11-03,0
17,287,Software Engineering,Software Engineering,2025-09-02,0
18,312,Marketing,Customer Support,2026-03-10,1
19,513,Software Engineering,Software Engineering,2025-10-26,1
20,586,Data & Analytics,Customer Support,2026-02-06,0
21,243,Sales,Data & Analytics,2025-11-13,1
22,582,Data & Analytics,Finance & Accounting,2025-10-21,1
23,275,Design,Data & Analytics,2026-04-15,0
24,341,Sales,Design,2025-12-28,0
25,245,Data & Analytics,Software Engineering,2026-04-15,0
26,75,Software Engineering,Software Engineering,2025-12-29,0
27,497,Sales,Sales,2026-04-13,0
28,161,Design,Finance & Accounting,2026-01-21,0
29,508,Software Engineering,Data & Analytics,2025-09-16,0
30,179,Marketing,Software Engineering,2026-03-12,0
31,72,Design,Sales,2025-10-25,0
32,98,Finance & Accounting,Customer Support,2025-10-18,0
33,4,Customer Support,Sales,2025-10-26,1
34,481,Operations,Data & Analytics,2025-09-14,1
35,520,Finance & Accounting,Design,2025-12-07,0
36,429,Data & Analytics,Finance & Accounting,2026-01-03,0
37,89,Data & Analytics,Sales,2025-09-26,0
38,411,Software Engineering,Finance & Accounting,2025-11-15,1
39,191,Marketing,Operations,2026-02-17,1
40,598,Sales,Marketing,2026-02-03,1
41,358,Customer Support,Sales,2025-08-23,1
42,12,Marketing,Design,2026-04-02,0
43,248,Customer Support,Software Engineering,2025-09-19,1
44,178,Software Engineering,Customer Support,2025-08-25,0
45,427,Operations,Customer Support,2026-02-09,1
46,47,Customer Support,Marketing,2026-01-15,0
47,412,Operations,Design,2025-10-21,0
48,30,Finance & Accounting,Design,2025-08-27,0
49,299,Marketing,Data & Analytics,2025-10-12,0
50,92,Marketing,Customer Support,2025-11-09,0
51,49,Operations,Marketing,2026-03-16,0
52,541,Marketing,Marketing,2025-10-20,1
53,54,Finance & Accounting,Finance & Accounting,2025-10-27,1
54,411,Marketing,Marketing,2025-08-18,0
55,324,Operations,Finance & Accounting,2025-11-23,1
56,120,Design,Design,2025-10-07,0
57,238,Sales,Software Engineering,2025-12-25,1
58,505,Software Engineering,Sales,2025-09-10,0
59,88,Data & Analytics,Marketing,2025-11-12,1
60,368,Design,Data & Analytics,2026-04-17,1
61,338,Marketing,Customer Support,2025-12-20,0
62,325,Operations,Marketing,2025-08-16,0
63,121,Sales,Marketing,2026-02-03,1
64,312,Design,Customer Support,2025-09-27,0
65,342,Finance & Accounting,Design,2025-10-06,0
66,59,Finance & Accounting,Software Engineering,2026-03-02,0
67,238,Software Engineering,Customer Support,2026-01-21,0
68,18,Customer Support,Software Engineering,2025-10-09,0
69,103,Customer Support,Sales,2026-04-08,0
70,322,Design,Operations,2025-09-29,1
71,207,Design,Operations,2025-10-01,1
72,364,Data & Analytics,Marketing,2026-02-13,1
73,141,Data & Analytics,Sales,2025-10-13,0
74,224,Design,Data & Analytics,2025-09-02,0
75,535,Marketing,Design,2025-12-09,0
76,597,Finance & Accounting,Customer Support,2025-10-02,0
77,23,Marketing,Customer Support,2026-01-20,1
78,268,Sales,Operations,2025-12-10,0
79,371,Operations,Marketing,2025-11-22,0
80,210,Operations,Operations,2026-02-07,0
81,349,Design,Design,2026-03-20,0
82,69,Finance & Accounting,Software Engineering,2026-03-16,1
83,139,Finance & Accounting,Software Engineering,2025-08-16,0
84,354,Finance & Accounting,Sales,2026-03-21,0
85,430,Customer Support,Operations,2026-02-06,0
86,356,Operations,Customer Support,2026-03-22,1
87,382,Data & Analytics,Software Engineering,2026-03-01,0
88,209,Design,Design,2026-03-05,0
89,539,Finance & Accounting,Finance & Accounting,2026-01-04,1
90,302,Marketing,Sales,2026-01-19,0
91,482,Design,Sales,2026-02-19,0
92,220,Design,Design,2026-02-20,0
93,123,Operations,Design,2026-02-15,0
94,461,Software Engineering,Software Engineering,2025-11-04,0
95,159,Software Engineering,Data & Analytics,2026-04-09,1
96,136,Sales,Operations,2025-10-22,0
97,298,Design,Customer Support,2025-12-21,0
98,80,Marketing,Customer Support,2026-03-20,0
