user_id,signup_date,country,device,plan
1,2025-04-02,US,android,free
2,2025-12-08,IN,ios,free
3,2025-10-25,UK,android,free
4,2025-08-08,UK,ios,free
5,2025-08-06,IN,ios,free
6,2026-01-08,DE,android,free
7,2025-04-01,SG,web,free
8,2025-11-10,IN,ios,free
9,2025-05-13,US,android,free
10,2025-04-04,IN,web,free
11,2025-09-09,DE,android,premium
12,2026-02-20,US,android,premium
13,2025-11-24,UK,android,premium
14,2025-12-03,DE,ios,premium
15,2025-11-17,UK,android,free
16,2025-12-12,SG,android,free
17,2025-09-04,IN,ios,free
18,2025-04-16,IN,android,premium
19,2026-01-01,IN,android,premium
20,2025-08-12,SG,ios,free
21,2025-08-30,IN,android,free
22,2025-07-14,IN,web,premium
23,2025-05-06,AE,ios,free
24,2026-02-02,IN,android,premium
25,2025-12-11,US,android,free
26,2025-10-22,IN,android,free
27,2025-07-25,IN,ios,premium
28,2025-12-26,IN,web,free
29,2025-09-16,AE,ios,free
30,2025-08-09,IN,ios,free
31,2025-08-12,IN,android,free
32,2025-05-22,UK,android,free
33,2025-04-03,IN,ios,free
34,2025-09-19,US,android,free
35,2026-01-19,US,web,free
36,2025-03-24,SG,android,free
37,2026-01-08,SG,ios,premium
38,2025-12-28,IN,android,free
39,2025-06-10,UK,ios,free
40,2025-10-17,US,android,free
41,2025-04-30,IN,android,free
42,2025-12-02,US,android,free
43,2025-11-11,SG,ios,free
44,2025-07-08,AE,android,premium
45,2025-03-25,US,web,premium
46,2026-02-18,IN,ios,free
47,2025-08-10,US,android,free
48,2026-01-20,US,ios,free
49,2025-11-03,IN,web,free
50,2025-12-10,DE,android,free
51,2025-12-03,DE,web,free
52,2025-05-11,DE,ios,free
53,2025-07-11,UK,ios,free
54,2025-08-18,US,ios,free
55,2025-08-29,IN,android,free
56,2025-03-16,DE,ios,free
57,2025-09-16,US,ios,free
58,2025-04-26,IN,ios,free
59,2025-11-27,IN,ios,free
60,2025-11-05,AE,ios,free
61,2026-01-31,IN,android,free
62,2025-11-27,UK,android,free
63,2025-07-12,US,web,free
64,2026-02-17,IN,ios,free
65,2025-07-28,SG,ios,free
66,2025-06-27,AE,android,free
67,2026-01-25,IN,android,free
68,2025-07-14,IN,android,free
69,2025-03-28,US,web,free
70,2025-08-19,IN,android,free
71,2025-12-16,IN,web,free
72,2025-05-09,DE,ios,free
73,2025-08-16,IN,web,free
74,2025-04-17,US,android,premium
75,2025-11-06,IN,web,free
76,2025-08-21,IN,android,free
77,2025-06-29,IN,android,free
78,2025-05-22,IN,ios,free
79,2025-09-23,UK,web,premium
80,2025-10-31,AE,ios,premium
81,2026-02-07,US,ios,free
82,2025-08-07,SG,web,premium
83,2025-04-28,IN,web,premium
84,2025-12-29,US,ios,free
85,2025-10-16,AE,ios,free
86,2025-11-11,US,android,free
87,2025-04-05,DE,android,free
88,2025-06-23,US,android,free
89,2025-12-06,DE,android,premium
90,2025-12-29,IN,ios,free
91,2025-08-06,IN,web,free
92,2025-12-19,IN,android,free
93,2026-01-02,AE,ios,free
94,2025-07-20,IN,ios,free
95,2026-01-22,IN,ios,free
96,2025-06-14,DE,android,free
97,2025-05-27,US,ios,free
98,2025-11-05,IN,ios,free
99,2025-10-19,IN,ios,free
100,2025-04-21,UK,web,free
101,2025-12-29,SG,android,free
102,2025-05-12,UK,android,premium
103,2025-12-19,IN,ios,premium
104,2025-03-03,US,android,free
105,2025-12-16,IN,android,free
106,2025-12-13,SG,android,premium
107,2025-12-10,UK,ios,free
108,2025-10-29,AE,android,free
109,2025-08-20,IN,android,free
110,2025-11-13,IN,ios,free
111,2025-06-10,UK,android,premium
112,2025-12-10,US,android,free
113,2025-09-19,IN,web,premium
114,2025-08-15,UK,android,free
115,2025-09-01,IN,web,free
116,2025-09-24,UK,web,free
117,2025-03-14,UK,android,free
118,2025-04-21,IN,ios,free
119,2025-05-29,AE,android,free
120,2025-04-11,IN,android,free
121,2025-08-08,US,ios,free
122,2025-10-30,DE,android,free
123,2025-10-25,SG,web,free
124,2025-08-19,IN,ios,free
125,2026-01-07,UK,ios,free
126,2025-09-23,US,ios,free
127,2025-03-29,AE,android,free
128,2025-12-05,IN,android,free
129,2025-09-26,US,ios,free
130,2025-10-18,IN,ios,free
131,2025-09-23,SG,ios,free
132,2025-09-19,SG,web,free
133,2025-04-03,IN,ios,free
134,2025-09-21,US,android,free
135,2025-12-16,IN,android,premium
136,2025-06-19,IN,ios,free
137,2025-10-07,IN,ios,free
138,2025-03-12,AE,android,free
139,2025-07-05,IN,android,free
140,2025-08-07,US,web,free
141,2026-02-22,SG,android,free
142,2025-05-18,IN,android,free
143,2025-06-09,US,ios,free
144,2025-07-28,DE,web,premium
145,2026-02-26,AE,android,free
146,2026-01-06,IN,ios,premium
147,2025-03-13,IN,android,premium
148,2025-05-25,UK,android,free
149,2025-12-25,IN,android,free
150,2025-03-22,US,web,free
151,2026-01-07,IN,android,free
152,2025-06-11,AE,android,free
153,2026-01-29,IN,ios,free
154,2025-06-16,IN,web,free
155,2025-08-06,AE,android,free
156,2025-10-28,IN,web,free
157,2025-04-16,US,web,free
158,2025-09-20,DE,android,free
159,2025-09-01,UK,android,free
160,2025-12-12,IN,android,free
161,2026-02-27,SG,ios,free
162,2025-10-29,IN,android,free
163,2025-07-28,IN,ios,free
164,2025-07-27,IN,web,premium
165,2025-07-31,UK,android,free
166,2025-12-23,IN,android,free
167,2025-06-26,IN,android,free
168,2025-04-30,IN,ios,free
169,2025-07-01,IN,ios,free
170,2025-03-09,AE,android,free
171,2025-04-08,US,ios,premium
172,2025-04-02,US,android,free
173,2025-12-07,IN,android,free
174,2025-11-19,SG,ios,premium
175,2025-11-10,IN,ios,free
176,2025-08-16,IN,android,free
177,2025-11-17,IN,ios,free
178,2025-04-28,DE,android,free
179,2026-01-23,US,android,free
180,2025-08-30,IN,android,free
181,2026-02-06,IN,android,free
182,2025-04-25,US,ios,free
183,2025-08-29,IN,android,free
184,2025-11-10,US,android,free
185,2025-08-28,IN,web,free
186,2025-08-10,IN,android,free
187,2025-04-30,AE,android,free
188,2025-07-18,US,android,free
189,2025-05-27,IN,android,free
190,2025-06-19,IN,ios,free
