2026-07-25 19:52:25,270 | INFO     | __main__ | Removed existing database at C:\Users\maanv\Downloads\placemux_growth (2)\placemux_growth\database\placemux.db
2026-07-25 19:52:25,461 | INFO     | __main__ | Schema created from C:\Users\maanv\Downloads\placemux_growth (2)\placemux_growth\sql\create_tables.sql
2026-07-25 19:52:25,867 | INFO     | __main__ | Loaded 42000 rows from users.csv into Users
2026-07-25 19:52:25,913 | INFO     | __main__ | Loaded 600 rows from companies.csv into Companies
2026-07-25 19:52:25,976 | INFO     | __main__ | Loaded 5000 rows from jobs.csv into Jobs
2026-07-25 19:52:29,848 | INFO     | __main__ | Loaded 251627 rows from sessions.csv into Sessions
2026-07-25 19:52:30,600 | INFO     | __main__ | Loaded 58784 rows from applications.csv into Applications
2026-07-25 19:52:30,630 | INFO     | __main__ | Loaded 4 rows from experiments.csv into Experiments
2026-07-25 19:52:31,146 | INFO     | __main__ | Loaded 28500 rows from experiment_assignments.csv into ExperimentAssignments
2026-07-25 19:52:31,483 | INFO     | __main__ | Loaded 18560 rows from experiment_events.csv into ExperimentEvents
2026-07-25 19:52:31,953 | INFO     | __main__ | Derived tables (Conversions, Revenue, Retention, Errors) rebuilt from raw events.
2026-07-25 19:52:31,969 | INFO     | __main__ | Database build complete: C:\Users\maanv\Downloads\placemux_growth (2)\placemux_growth\database\placemux.db
2026-07-25 19:52:35,785 | INFO     | srm_checker | SRM check for exp_1001: control=4502 treatment=4498 chi2=0.0018 p=0.966368 detected=False severity=None
2026-07-25 19:52:35,979 | INFO     | guardrails | Guardrail crash_rate for exp_1001: control=0.0098 treatment=0.0111 p=0.5310 regression=False (OK)
2026-07-25 19:52:36,032 | INFO     | guardrails | Guardrail error_rate for exp_1001: control=0.0195 treatment=0.0189 p=0.8224 regression=False (OK)
2026-07-25 19:52:36,032 | WARNING  | guardrails | No raw event mapping for guardrail metric 'application_success_rate' — skipping.
2026-07-25 19:52:36,033 | INFO     | experiment_engine | Full readout complete for exp_1001 (primary metric: application_conversion)
2026-07-25 19:52:36,044 | INFO     | __main__ | Logged experiment exp_1001 with decision=Ship
2026-07-25 19:52:36,057 | INFO     | srm_checker | SRM check for exp_1002: control=4320 treatment=4180 chi2=2.3059 p=0.128885 detected=False severity=None
2026-07-25 19:52:36,230 | INFO     | guardrails | Guardrail cancellation_rate for exp_1002: control=0.0187 treatment=0.0294 p=0.0013 regression=True (Critical)
2026-07-25 19:52:36,282 | INFO     | guardrails | Guardrail error_rate for exp_1002: control=0.0234 treatment=0.0306 p=0.0392 regression=True (Critical)
2026-07-25 19:52:36,332 | INFO     | guardrails | Guardrail refund_rate for exp_1002: control=0.0083 treatment=0.0182 p=0.0001 regression=True (Critical)
2026-07-25 19:52:36,332 | INFO     | experiment_engine | Full readout complete for exp_1002 (primary metric: application_conversion)
2026-07-25 19:52:36,342 | INFO     | __main__ | Logged experiment exp_1002 with decision=No Ship
2026-07-25 19:52:36,352 | INFO     | srm_checker | SRM check for exp_1003: control=2028 treatment=1972 chi2=0.7840 p=0.375921 detected=False severity=None
2026-07-25 19:52:36,444 | INFO     | guardrails | Guardrail error_rate for exp_1003: control=0.0242 treatment=0.0198 p=0.3445 regression=False (OK)
2026-07-25 19:52:36,483 | INFO     | guardrails | Guardrail bounce_rate for exp_1003: control=0.2830 treatment=0.2982 p=0.2918 regression=False (OK)
2026-07-25 19:52:36,483 | INFO     | experiment_engine | Full readout complete for exp_1003 (primary metric: application_conversion)
2026-07-25 19:52:36,492 | INFO     | __main__ | Logged experiment exp_1003 with decision=No Ship
2026-07-25 19:52:36,503 | INFO     | srm_checker | SRM check for exp_1004: control=4169 treatment=2831 chi2=255.7491 p=0.000000 detected=True severity=High
